Test 5
5563183d
ProductName: DCS
FileVersion: 1.2.16.39472
ProductVersion: 1.2.16.39472
time = 20150525-224038; ObjectID = 16786688; name = BRDM-2; country = 0; Lat = 42.164717; Long = 42.118705; Alt = 14.373638; Hdg = 4.119875; type = 2.17.26.10
time = 20150525-224038; ObjectID = 16788736; name = BRDM-2; country = 0; Lat = 42.169443; Long = 42.123881; Alt = 13.453124; Hdg = 6.103332; type = 2.17.26.10
time = 20150525-224038; ObjectID = 16827392; name = Ural-4320-31; country = 0; Lat = 42.118004; Long = 42.260012; Alt = 31.789713; Hdg = 1.531332; type = 2.17.25.6
time = 20150525-224038; ObjectID = 16829440; name = Ural-375; country = 0; Lat = 42.117784; Long = 42.261232; Alt = 32.078907; Hdg = 0.000000; type = 2.17.25.40
time = 20150525-224038; ObjectID = 16845824; name = Hummer; country = 2; Lat = 41.927461; Long = 41.863838; Alt = 18.000000; Hdg = 2.169215; type = 2.17.25.14
time = 20150525-224038; ObjectID = 16782848; name = T-55; country = 0; Lat = 42.203069; Long = 41.901314; Alt = 7.802643; Hdg = 2.429235; type = 2.17.26.16
time = 20150525-224038; ObjectID = 16784896; name = T-55; country = 0; Lat = 42.201294; Long = 41.916100; Alt = 9.641173; Hdg = 2.429236; type = 2.17.26.16
time = 20150525-224038; ObjectID = 16786944; name = BRDM-2; country = 0; Lat = 42.170816; Long = 42.115408; Alt = 12.576155; Hdg = 5.221457; type = 2.17.26.10
time = 20150525-224038; ObjectID = 16788992; name = BRDM-2; country = 0; Lat = 42.165324; Long = 42.122040; Alt = 14.345192; Hdg = 3.517234; type = 2.17.26.10
time = 20150525-224038; ObjectID = 16827648; name = Ural-4320-31; country = 0; Lat = 42.117994; Long = 42.260131; Alt = 31.809847; Hdg = 1.557272; type = 2.17.25.6
time = 20150525-224038; ObjectID = 16829696; name = Ural-375; country = 0; Lat = 42.117885; Long = 42.261092; Alt = 31.993139; Hdg = 0.000000; type = 2.17.25.40
time = 20150525-224038; ObjectID = 16846080; name = M-113; country = 2; Lat = 41.924183; Long = 41.864190; Alt = 18.000000; Hdg = 6.235603; type = 2.17.26.10
time = 20150525-224038; ObjectID = 16783104; name = T-55; country = 0; Lat = 42.205307; Long = 41.911795; Alt = 9.593053; Hdg = 2.429236; type = 2.17.26.16
time = 20150525-224038; ObjectID = 16785152; name = T-55; country = 0; Lat = 42.201111; Long = 41.914173; Alt = 9.344171; Hdg = 2.429236; type = 2.17.26.16
time = 20150525-224038; ObjectID = 16787200; name = BRDM-2; country = 0; Lat = 42.166554; Long = 42.137454; Alt = 14.720903; Hdg = 1.603571; type = 2.17.26.10
time = 20150525-224038; ObjectID = 16789248; name = BRDM-2; country = 0; Lat = 42.167797; Long = 42.132211; Alt = 14.450558; Hdg = 0.849824; type = 2.17.26.10
time = 20150525-224038; ObjectID = 16827904; name = Ural-4320-31; country = 0; Lat = 42.117982; Long = 42.260257; Alt = 31.832798; Hdg = 1.502399; type = 2.17.25.6
time = 20150525-224038; ObjectID = 16829952; name = Ural-375; country = 0; Lat = 42.117964; Long = 42.261103; Alt = 31.940029; Hdg = 0.000000; type = 2.17.25.40
time = 20150525-224038; ObjectID = 16846336; name = Soldier M4; country = 2; Lat = 41.926595; Long = 41.859385; Alt = 18.000000; Hdg = 0.945311; type = 2.17.26.90
time = 20150525-224038; ObjectID = 16783360; name = T-55; country = 0; Lat = 42.201471; Long = 41.915157; Alt = 9.534965; Hdg = 2.429236; type = 2.17.26.16
time = 20150525-224038; ObjectID = 16785408; name = T-55; country = 0; Lat = 42.197499; Long = 41.918604; Alt = 9.303934; Hdg = 2.429236; type = 2.17.26.16
time = 20150525-224038; ObjectID = 16787456; name = BRDM-2; country = 0; Lat = 42.169272; Long = 42.129212; Alt = 14.004634; Hdg = 0.555493; type = 2.17.26.10
time = 20150525-224038; ObjectID = 16789504; name = BRDM-2; country = 0; Lat = 42.166116; Long = 42.124021; Alt = 14.192931; Hdg = 3.194176; type = 2.17.26.10
time = 20150525-224038; ObjectID = 16826112; name = Ural-4320-31; country = 0; Lat = 42.118830; Long = 42.259246; Alt = 31.134121; Hdg = 4.757800; type = 2.17.25.6
time = 20150525-224038; ObjectID = 16828160; name = Ural-4320-31; country = 0; Lat = 42.118345; Long = 42.261132; Alt = 31.680798; Hdg = 0.000000; type = 2.17.25.6
time = 20150525-224038; ObjectID = 16830208; name = Ural-375; country = 0; Lat = 42.117796; Long = 42.261079; Alt = 32.052982; Hdg = 0.000000; type = 2.17.25.40
time = 20150525-224038; ObjectID = 16777472; name = ZSU-23-4 Shilka; country = 0; Lat = 42.203538; Long = 41.637619; Alt = 0.000000; Hdg = 6.283185; type = 2.16.105.30
time = 20150525-224038; ObjectID = 16846592; name = Soldier M4; country = 2; Lat = 41.932143; Long = 41.860482; Alt = 18.000000; Hdg = 3.141593; type = 2.17.26.90
time = 20150525-224038; ObjectID = 16783616; name = T-55; country = 0; Lat = 42.200759; Long = 41.916370; Alt = 9.600081; Hdg = 2.429236; type = 2.17.26.16
time = 20150525-224038; ObjectID = 16785664; name = T-55; country = 0; Lat = 42.203574; Long = 41.923407; Alt = 9.400670; Hdg = 2.429235; type = 2.17.26.16
time = 20150525-224038; ObjectID = 16787712; name = BRDM-2; country = 0; Lat = 42.170549; Long = 42.127393; Alt = 13.744644; Hdg = 6.283185; type = 2.17.26.10
time = 20150525-224038; ObjectID = 16789760; name = BRDM-2; country = 0; Lat = 42.168361; Long = 42.121341; Alt = 13.506642; Hdg = 5.210209; type = 2.17.26.10
time = 20150525-224038; ObjectID = 16826368; name = Ural-4320-31; country = 0; Lat = 42.118815; Long = 42.259392; Alt = 31.160471; Hdg = 4.702669; type = 2.17.25.6
time = 20150525-224038; ObjectID = 16828416; name = Ural-4320-31; country = 0; Lat = 42.118456; Long = 42.261148; Alt = 31.605621; Hdg = 0.000000; type = 2.17.25.6
time = 20150525-224038; ObjectID = 16830464; name = Ural-375; country = 0; Lat = 42.118905; Long = 42.261076; Alt = 31.288433; Hdg = 5.304801; type = 2.17.25.40
time = 20150525-224038; ObjectID = 16777728; name = ZSU-23-4 Shilka; country = 0; Lat = 42.192134; Long = 41.640548; Alt = 0.000000; Hdg = 2.424271; type = 2.16.105.30
time = 20150525-224038; ObjectID = 16844800; name = Vulcan; country = 2; Lat = 41.928653; Long = 41.851486; Alt = 18.000000; Hdg = 5.050713; type = 2.16.105.46
time = 20150525-224038; ObjectID = 16846848; name = Soldier M4; country = 2; Lat = 41.926609; Long = 41.859408; Alt = 18.000000; Hdg = 4.670746; type = 2.17.26.90
time = 20150525-224038; ObjectID = 16783872; name = T-55; country = 0; Lat = 42.203706; Long = 41.918447; Alt = 10.146554; Hdg = 2.429235; type = 2.17.26.16
time = 20150525-224038; ObjectID = 16785920; name = T-55; country = 0; Lat = 42.195367; Long = 41.921551; Alt = 8.241483; Hdg = 2.429234; type = 2.17.26.16
time = 20150525-224038; ObjectID = 16787968; name = BRDM-2; country = 0; Lat = 42.164347; Long = 42.132297; Alt = 15.099614; Hdg = 2.553587; type = 2.17.26.10
time = 20150525-224038; ObjectID = 16826624; name = Ural-4320-31; country = 0; Lat = 42.118802; Long = 42.259521; Alt = 31.184052; Hdg = 4.622300; type = 2.17.25.6
time = 20150525-224038; ObjectID = 16828672; name = UAZ-469; country = 0; Lat = 42.118858; Long = 42.261138; Alt = 31.327188; Hdg = 5.280478; type = 2.17.25.38
time = 20150525-224038; ObjectID = 16830720; name = Ural-375; country = 0; Lat = 42.118956; Long = 42.261007; Alt = 31.245054; Hdg = 5.437240; type = 2.17.25.40
time = 20150525-224038; ObjectID = 16848640; name = A-10C; country = 2; Lat = 41.927465; Long = 41.850750; Alt = 20.387085; Hdg = 1.221731; type = 1.1.6.58
time = 20150525-224038; ObjectID = 16848384; name = A-10C; country = 2; Lat = 41.927703; Long = 41.850941; Alt = 20.281424; Hdg = 1.224637; type = 1.1.6.58
time = 20150525-224038; ObjectID = 16848128; name = M 818; country = 2; Lat = 41.927187; Long = 41.858850; Alt = 18.000000; Hdg = 6.143559; type = 2.17.25.6
time = 20150525-224038; ObjectID = 16847872; name = M978 HEMTT Tanker; country = 2; Lat = 41.927109; Long = 41.858076; Alt = 18.000000; Hdg = 6.143559; type = 2.17.25.6
time = 20150525-224038; ObjectID = 16847616; name = HEMTT TFFT; country = 2; Lat = 41.927050; Long = 41.857503; Alt = 18.000000; Hdg = 6.143559; type = 2.17.25.6
time = 20150525-224038; ObjectID = 16847360; name = M6 Linebacker; country = 2; Lat = 41.930657; Long = 41.859142; Alt = 18.000000; Hdg = 4.185446; type = 2.16.104.51
time = 20150525-224039; ObjectID = 16777984; name = ZSU-23-4 Shilka; country = 0; Lat = 42.198411; Long = 41.639474; Alt = 0.000000; Hdg = 4.601732; type = 2.16.105.30
time = 20150525-224039; ObjectID = 16845056; name = Vulcan; country = 2; Lat = 41.930578; Long = 41.871684; Alt = 18.000000; Hdg = 1.118642; type = 2.16.105.46
time = 20150525-224039; ObjectID = 16847104; name = Soldier M4; country = 2; Lat = 41.926616; Long = 41.859381; Alt = 21.394918; Hdg = 2.896614; type = 2.17.26.90
time = 20150525-224039; ObjectID = 16784128; name = T-55; country = 0; Lat = 42.202847; Long = 41.938895; Alt = 10.218915; Hdg = 2.429236; type = 2.17.26.16
time = 20150525-224039; ObjectID = 16786176; name = BRDM-2; country = 0; Lat = 42.170696; Long = 42.119468; Alt = 12.711155; Hdg = 0.000000; type = 2.17.26.10
time = 20150525-224039; ObjectID = 16788224; name = BRDM-2; country = 0; Lat = 42.165071; Long = 42.129674; Alt = 14.727321; Hdg = 1.127347; type = 2.17.26.10
time = 20150525-224039; ObjectID = 16826880; name = Ural-4320-31; country = 0; Lat = 42.118795; Long = 42.259645; Alt = 31.203133; Hdg = 4.601722; type = 2.17.25.6
time = 20150525-224039; ObjectID = 16828928; name = UAZ-469; country = 0; Lat = 42.117870; Long = 42.261249; Alt = 32.021378; Hdg = 0.000000; type = 2.17.25.38
time = 20150525-224039; ObjectID = 16830976; name = Ural-375; country = 0; Lat = 42.118999; Long = 42.260955; Alt = 31.209557; Hdg = 5.539416; type = 2.17.25.40
time = 20150525-224039; ObjectID = 16778240; name = ZSU-23-4 Shilka; country = 0; Lat = 42.198369; Long = 41.648145; Alt = 0.000000; Hdg = 1.430871; type = 2.16.105.30
time = 20150525-224039; ObjectID = 16845312; name = Hummer; country = 2; Lat = 41.932250; Long = 41.860363; Alt = 18.000000; Hdg = 3.941483; type = 2.17.25.14
time = 20150525-224039; ObjectID = 16782336; name = T-55; country = 0; Lat = 42.206067; Long = 41.915878; Alt = 10.013263; Hdg = 2.429235; type = 2.17.26.16
time = 20150525-224039; ObjectID = 16784384; name = T-55; country = 0; Lat = 42.200492; Long = 41.914534; Alt = 9.302426; Hdg = 2.429236; type = 2.17.26.16
time = 20150525-224039; ObjectID = 16786432; name = BRDM-2; country = 0; Lat = 42.168893; Long = 42.115994; Alt = 13.227118; Hdg = 4.380589; type = 2.17.26.10
time = 20150525-224039; ObjectID = 16788480; name = BRDM-2; country = 0; Lat = 42.166972; Long = 42.119757; Alt = 13.854740; Hdg = 4.622541; type = 2.17.26.10
time = 20150525-224039; ObjectID = 16827136; name = Ural-4320-31; country = 0; Lat = 42.118012; Long = 42.259882; Alt = 31.769497; Hdg = 1.556701; type = 2.17.25.6
time = 20150525-224039; ObjectID = 16829184; name = UAZ-469; country = 0; Lat = 42.117951; Long = 42.261261; Alt = 31.966583; Hdg = 0.000000; type = 2.17.25.38
time = 20150525-224039; ObjectID = 16845568; name = Hummer; country = 2; Lat = 41.926617; Long = 41.859333; Alt = 18.000000; Hdg = 6.118037; type = 2.17.25.14
time = 20150525-224039; ObjectID = 16782592; name = T-55; country = 0; Lat = 42.202709; Long = 41.907555; Alt = 8.650128; Hdg = 2.429236; type = 2.17.26.16
time = 20150525-224039; ObjectID = 16784640; name = T-55; country = 0; Lat = 42.200676; Long = 41.915459; Alt = 9.459134; Hdg = 2.429236; type = 2.17.26.16
time = 20150525-224039; ObjectID = 16786688; name = BRDM-2; country = 0; Lat = 42.164717; Long = 42.118705; Alt = 14.373638; Hdg = 4.119875; type = 2.17.26.10
time = 20150525-224039; ObjectID = 16788736; name = BRDM-2; country = 0; Lat = 42.169443; Long = 42.123881; Alt = 13.453124; Hdg = 6.103332; type = 2.17.26.10
time = 20150525-224039; ObjectID = 16827392; name = Ural-4320-31; country = 0; Lat = 42.118004; Long = 42.260012; Alt = 31.789713; Hdg = 1.531332; type = 2.17.25.6
time = 20150525-224039; ObjectID = 16829440; name = Ural-375; country = 0; Lat = 42.117784; Long = 42.261232; Alt = 32.078907; Hdg = 0.000000; type = 2.17.25.40
time = 20150525-224039; ObjectID = 16845824; name = Hummer; country = 2; Lat = 41.927461; Long = 41.863838; Alt = 18.000000; Hdg = 2.169215; type = 2.17.25.14
time = 20150525-224039; ObjectID = 16782848; name = T-55; country = 0; Lat = 42.203069; Long = 41.901314; Alt = 7.802643; Hdg = 2.429235; type = 2.17.26.16
time = 20150525-224039; ObjectID = 16784896; name = T-55; country = 0; Lat = 42.201294; Long = 41.916100; Alt = 9.641173; Hdg = 2.429236; type = 2.17.26.16
time = 20150525-224039; ObjectID = 16786944; name = BRDM-2; country = 0; Lat = 42.170816; Long = 42.115408; Alt = 12.576155; Hdg = 5.221457; type = 2.17.26.10
time = 20150525-224039; ObjectID = 16788992; name = BRDM-2; country = 0; Lat = 42.165324; Long = 42.122040; Alt = 14.345192; Hdg = 3.517234; type = 2.17.26.10
time = 20150525-224039; ObjectID = 16827648; name = Ural-4320-31; country = 0; Lat = 42.117994; Long = 42.260131; Alt = 31.809847; Hdg = 1.557272; type = 2.17.25.6
time = 20150525-224039; ObjectID = 16829696; name = Ural-375; country = 0; Lat = 42.117885; Long = 42.261092; Alt = 31.993139; Hdg = 0.000000; type = 2.17.25.40
time = 20150525-224039; ObjectID = 16846080; name = M-113; country = 2; Lat = 41.924183; Long = 41.864190; Alt = 18.000000; Hdg = 6.235603; type = 2.17.26.10
time = 20150525-224039; ObjectID = 16783104; name = T-55; country = 0; Lat = 42.205307; Long = 41.911795; Alt = 9.593053; Hdg = 2.429236; type = 2.17.26.16
time = 20150525-224039; ObjectID = 16785152; name = T-55; country = 0; Lat = 42.201111; Long = 41.914173; Alt = 9.344171; Hdg = 2.429236; type = 2.17.26.16
time = 20150525-224039; ObjectID = 16787200; name = BRDM-2; country = 0; Lat = 42.166554; Long = 42.137454; Alt = 14.720903; Hdg = 1.603571; type = 2.17.26.10
time = 20150525-224039; ObjectID = 16789248; name = BRDM-2; country = 0; Lat = 42.167797; Long = 42.132211; Alt = 14.450558; Hdg = 0.849824; type = 2.17.26.10
time = 20150525-224039; ObjectID = 16827904; name = Ural-4320-31; country = 0; Lat = 42.117982; Long = 42.260257; Alt = 31.832798; Hdg = 1.502399; type = 2.17.25.6
time = 20150525-224039; ObjectID = 16829952; name = Ural-375; country = 0; Lat = 42.117964; Long = 42.261103; Alt = 31.940029; Hdg = 0.000000; type = 2.17.25.40
time = 20150525-224039; ObjectID = 16846336; name = Soldier M4; country = 2; Lat = 41.926595; Long = 41.859385; Alt = 18.000000; Hdg = 0.945311; type = 2.17.26.90
time = 20150525-224039; ObjectID = 16783360; name = T-55; country = 0; Lat = 42.201471; Long = 41.915157; Alt = 9.534965; Hdg = 2.429236; type = 2.17.26.16
time = 20150525-224039; ObjectID = 16785408; name = T-55; country = 0; Lat = 42.197499; Long = 41.918604; Alt = 9.303934; Hdg = 2.429236; type = 2.17.26.16
time = 20150525-224039; ObjectID = 16787456; name = BRDM-2; country = 0; Lat = 42.169272; Long = 42.129212; Alt = 14.004634; Hdg = 0.555493; type = 2.17.26.10
time = 20150525-224039; ObjectID = 16789504; name = BRDM-2; country = 0; Lat = 42.166116; Long = 42.124021; Alt = 14.192931; Hdg = 3.194176; type = 2.17.26.10
time = 20150525-224039; ObjectID = 16826112; name = Ural-4320-31; country = 0; Lat = 42.118830; Long = 42.259246; Alt = 31.134121; Hdg = 4.757800; type = 2.17.25.6
time = 20150525-224039; ObjectID = 16828160; name = Ural-4320-31; country = 0; Lat = 42.118345; Long = 42.261132; Alt = 31.680798; Hdg = 0.000000; type = 2.17.25.6
time = 20150525-224039; ObjectID = 16830208; name = Ural-375; country = 0; Lat = 42.117796; Long = 42.261079; Alt = 32.052982; Hdg = 0.000000; type = 2.17.25.40
time = 20150525-224039; ObjectID = 16777472; name = ZSU-23-4 Shilka; country = 0; Lat = 42.203538; Long = 41.637619; Alt = 0.000000; Hdg = 6.283185; type = 2.16.105.30
time = 20150525-224039; ObjectID = 16846592; name = Soldier M4; country = 2; Lat = 41.932143; Long = 41.860482; Alt = 18.000000; Hdg = 3.141593; type = 2.17.26.90
time = 20150525-224039; ObjectID = 16783616; name = T-55; country = 0; Lat = 42.200759; Long = 41.916370; Alt = 9.600081; Hdg = 2.429236; type = 2.17.26.16
time = 20150525-224039; ObjectID = 16785664; name = T-55; country = 0; Lat = 42.203574; Long = 41.923407; Alt = 9.400670; Hdg = 2.429235; type = 2.17.26.16
time = 20150525-224039; ObjectID = 16787712; name = BRDM-2; country = 0; Lat = 42.170549; Long = 42.127393; Alt = 13.744644; Hdg = 6.283185; type = 2.17.26.10
time = 20150525-224039; ObjectID = 16789760; name = BRDM-2; country = 0; Lat = 42.168361; Long = 42.121341; Alt = 13.506642; Hdg = 5.210209; type = 2.17.26.10
time = 20150525-224039; ObjectID = 16826368; name = Ural-4320-31; country = 0; Lat = 42.118815; Long = 42.259392; Alt = 31.160471; Hdg = 4.702669; type = 2.17.25.6
time = 20150525-224039; ObjectID = 16828416; name = Ural-4320-31; country = 0; Lat = 42.118456; Long = 42.261148; Alt = 31.605621; Hdg = 0.000000; type = 2.17.25.6
time = 20150525-224039; ObjectID = 16830464; name = Ural-375; country = 0; Lat = 42.118905; Long = 42.261076; Alt = 31.288433; Hdg = 5.304801; type = 2.17.25.40
time = 20150525-224039; ObjectID = 16777728; name = ZSU-23-4 Shilka; country = 0; Lat = 42.192134; Long = 41.640548; Alt = 0.000000; Hdg = 2.424271; type = 2.16.105.30
time = 20150525-224039; ObjectID = 16844800; name = Vulcan; country = 2; Lat = 41.928653; Long = 41.851486; Alt = 18.000000; Hdg = 5.050713; type = 2.16.105.46
time = 20150525-224039; ObjectID = 16846848; name = Soldier M4; country = 2; Lat = 41.926609; Long = 41.859408; Alt = 18.000000; Hdg = 4.670746; type = 2.17.26.90
time = 20150525-224039; ObjectID = 16783872; name = T-55; country = 0; Lat = 42.203706; Long = 41.918447; Alt = 10.146554; Hdg = 2.429235; type = 2.17.26.16
time = 20150525-224039; ObjectID = 16785920; name = T-55; country = 0; Lat = 42.195367; Long = 41.921551; Alt = 8.241483; Hdg = 2.429234; type = 2.17.26.16
time = 20150525-224039; ObjectID = 16787968; name = BRDM-2; country = 0; Lat = 42.164347; Long = 42.132297; Alt = 15.099614; Hdg = 2.553587; type = 2.17.26.10
time = 20150525-224039; ObjectID = 16826624; name = Ural-4320-31; country = 0; Lat = 42.118802; Long = 42.259521; Alt = 31.184052; Hdg = 4.622300; type = 2.17.25.6
time = 20150525-224039; ObjectID = 16828672; name = UAZ-469; country = 0; Lat = 42.118858; Long = 42.261138; Alt = 31.327188; Hdg = 5.280478; type = 2.17.25.38
time = 20150525-224039; ObjectID = 16830720; name = Ural-375; country = 0; Lat = 42.118956; Long = 42.261007; Alt = 31.245054; Hdg = 5.437240; type = 2.17.25.40
time = 20150525-224039; ObjectID = 16848640; name = A-10C; country = 2; Lat = 41.927465; Long = 41.850750; Alt = 20.387085; Hdg = 1.221731; type = 1.1.6.58
time = 20150525-224039; ObjectID = 16848384; name = A-10C; country = 2; Lat = 41.927703; Long = 41.850941; Alt = 20.282152; Hdg = 1.224592; type = 1.1.6.58
time = 20150525-224039; ObjectID = 16848128; name = M 818; country = 2; Lat = 41.927187; Long = 41.858850; Alt = 18.000000; Hdg = 6.143559; type = 2.17.25.6
time = 20150525-224039; ObjectID = 16847872; name = M978 HEMTT Tanker; country = 2; Lat = 41.927109; Long = 41.858076; Alt = 18.000000; Hdg = 6.143559; type = 2.17.25.6
time = 20150525-224039; ObjectID = 16847616; name = HEMTT TFFT; country = 2; Lat = 41.927050; Long = 41.857503; Alt = 18.000000; Hdg = 6.143559; type = 2.17.25.6
time = 20150525-224039; ObjectID = 16847360; name = M6 Linebacker; country = 2; Lat = 41.930657; Long = 41.859142; Alt = 18.000000; Hdg = 4.185446; type = 2.16.104.51
time = 20150525-224040; ObjectID = 16777984; name = ZSU-23-4 Shilka; country = 0; Lat = 42.198411; Long = 41.639474; Alt = 0.000000; Hdg = 4.601732; type = 2.16.105.30
